planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 1 0.127155 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 2 1.25168 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 3 1.79239 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 4 4.2069 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 5 5.80093 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 6 7.43459 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 7 8.19177 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 8 11.8832 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 9 12.3846 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 10 15.051 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 11 15.936 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 12 17.1687 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 13 18.6272 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 14 20.9165 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 15 21.8729 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 16 24.2652 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 17 25.7349 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 18 27.291 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 19 28.6157 9.38153 9.38153 0 5.17397 5.17397 0
bi_rrt_star 20 31.683 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 21 34.2705 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 22 36.8897 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 23 40.3813 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 24 42.1287 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 25 44.7543 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 26 47.792 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 27 48.5379 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 28 50.6645 9.32224 9.32224 0 5.17397 5.17397 0
bi_rrt_star 29 51.4875 8.94622 8.94622 0 5.17397 5.17397 0
bi_rrt_star 30 52.6843 8.94622 8.94622 0 5.17397 5.17397 0
bi_rrt_star 31 55.8281 8.94622 8.94622 0 5.17397 5.17397 0
bi_rrt_star 32 58.488 8.94622 8.94622 0 5.17397 5.17397 0
bi_rrt_star 33 58.8913 8.94622 8.94622 0 5.17397 5.17397 0
bi_rrt_star 34 62.3467 8.94622 8.94622 0 5.17397 5.17397 0
