planner_name bi_rrt_star
planning_group fetch_arm
planning_result 1
max_time 300
executed_time 300.316
first_solution_iter 0
first_solution_time 0.127102
last_solution_iter 150
last_solution_time 293.95
total_plannig_iter 153
cost_theoretical_solution_total 5.17397
cost_theoretical_solution_revolute 5.17397
cost_theoretical_solution_prismatics 0
cost_final_solution_total 7.63608
cost_final_solution_revolute 7.63608
cost_final_solution_prismatic 0
num_nodes_start_tree 957
num_nodes_goal_tree 1111
num_nodes_total 2068
num_edges_start_tree 956
num_edges_goal_tree 1110
num_edges_total 2066
num_rewire_start_tree 145
num_rewire_goal_tree 212
num_rewire_total 357
